text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_528ee088-547b-4b9d-908e-d7ee54650e73,296.3011,507.1587,SUB010_66kV变电站,0.4773,"rgb(255,255,255)",TMP00312975,TMP_528ee088-547b-4b9d-908e-d7ee54650e73
TXT-TMP_e74730bc-e895-495d-93ee-eed36be8fe55,432.1104,484.6052,故障指示器006,0.1245,"rgb(255,255,255)",TMP00132595,TMP_e74730bc-e895-495d-93ee-eed36be8fe55
TXT-TMP_99a8c0b7-1c1f-4238-9d86-28fbfd13f177,441.9635,499.5332,故障指示器005,0.1245,"rgb(255,255,255)",TMP00132558,TMP_99a8c0b7-1c1f-4238-9d86-28fbfd13f177
TXT-TMP_fbd386d0-e8f1-4b3c-80f0-6157152109bf,442.8193,511.077,故障指示器004,0.1245,"rgb(255,255,255)",TMP00132552,TMP_fbd386d0-e8f1-4b3c-80f0-6157152109bf
TXT-TMP_0d2a2f9d-0047-4f1d-90b7-ddcf151d28d4,364.661,508.7524,5,0.5811,"rgb(255,255,255)",TMP00312985,TMP_350d4db8-81f5-428e-8058-388cebbce60d
TXT-TMP_67132cd0-028b-44ab-9895-4b0f5551570f,517.1437,508.7524,5,0.5811,"rgb(255,255,255)",TMP00312991,TMP_80a88d68-ef80-4658-b1d9-44bdcdd12cea
TXT-TMP_76850f4e-8fdf-42dc-b894-f0cd575829a7,518.3303,557.2856,5,0.5811,"rgb(255,255,255)",TMP00312992,TMP_bebc3aa6-27b7-4ab9-b044-5b08ee838b8e
TXT-TMP_9252e577-1979-4366-ae20-255f8bc57e6c,311.4598,515.431,线,0.2698,"rgb(255,255,255)",TMP00312998,TMP_d3550a56-3c87-4a54-8352-16acd8eae89f
TXT-TMP_350d4db8-81f5-428e-8058-388cebbce60d,340.7676,493.7205,配变2186,0.4151,"rgb(255,255,255)",TMP00132408,TMP_350d4db8-81f5-428e-8058-388cebbce60d
TXT-TMP_80a88d68-ef80-4658-b1d9-44bdcdd12cea,516.6918,499.2172,配变2185,0.4151,"rgb(255,255,255)",TMP00132695,TMP_80a88d68-ef80-4658-b1d9-44bdcdd12cea
TXT-TMP_ec7d30da-e604-48e5-adca-732c46349b0d,512.0732,495.3449,配变2184,0.4151,"rgb(255,255,255)",TMP00132697,TMP_ec7d30da-e604-48e5-adca-732c46349b0d
TXT-TMP_25db8967-5f75-4178-94b2-9b17b1b186b7,383.6835,562.7693,配变2183,0.4151,"rgb(255,255,255)",TMP00132941,TMP_25db8967-5f75-4178-94b2-9b17b1b186b7
TXT-TMP_fdf1fe95-526a-42bf-99d7-d754c762342e,386.3933,561.5337,配变2182,0.4151,"rgb(255,255,255)",TMP00132938,TMP_fdf1fe95-526a-42bf-99d7-d754c762342e
TXT-TMP_a4219c75-f7bc-4084-afd7-8e1fb5e2d84e,389.4818,551.508,配变2181,0.4151,"rgb(255,255,255)",TMP00132932,TMP_a4219c75-f7bc-4084-afd7-8e1fb5e2d84e
TXT-TMP_86ac3251-e57f-4d0e-bb86-ece5d8090cf9,394.7616,558.836,配变2180,0.4151,"rgb(255,255,255)",TMP00132925,TMP_86ac3251-e57f-4d0e-bb86-ece5d8090cf9
TXT-TMP_d661ceea-765b-4ab9-8d47-0671ec5952ec,399.326,552.0686,配变2179,0.4151,"rgb(255,255,255)",TMP00132916,TMP_d661ceea-765b-4ab9-8d47-0671ec5952ec
TXT-TMP_232b2880-4663-4c2c-826c-070e46eb341f,399.1928,563.357,配变2178,0.4151,"rgb(255,255,255)",TMP00132918,TMP_232b2880-4663-4c2c-826c-070e46eb341f
TXT-TMP_38397503-08e6-4cae-987f-dfbbe9740efb,404.9069,560.2782,配变2177,0.4151,"rgb(255,255,255)",TMP00132913,TMP_38397503-08e6-4cae-987f-dfbbe9740efb
TXT-TMP_5928efab-579f-4f37-9f48-44dd34bb54e5,417.9509,544.5014,配变2176,0.4151,"rgb(255,255,255)",TMP00132897,TMP_5928efab-579f-4f37-9f48-44dd34bb54e5
TXT-TMP_f83e9222-6f3e-407b-abb5-5eb9ea7a50e2,421.2212,562.0533,配变2175,0.4151,"rgb(255,255,255)",TMP00132892,TMP_f83e9222-6f3e-407b-abb5-5eb9ea7a50e2
TXT-TMP_a0397e37-6b92-4454-8c94-0bd3ed72ec41,437.0639,551.1135,配变2174,0.4151,"rgb(255,255,255)",TMP00132869,TMP_a0397e37-6b92-4454-8c94-0bd3ed72ec41
TXT-TMP_7dbe008e-4c5e-451c-ab17-594c8165d7de,443.4937,562.4703,配变2173,0.4151,"rgb(255,255,255)",TMP00132866,TMP_7dbe008e-4c5e-451c-ab17-594c8165d7de
TXT-TMP_12fde5d1-6205-4fd5-84d6-19539235a1e6,452.3032,562.4703,配变2172,0.4151,"rgb(255,255,255)",TMP00132856,TMP_12fde5d1-6205-4fd5-84d6-19539235a1e6
TXT-TMP_8ff074d3-c9c3-4ff7-86a6-ffb5419c50f6,453.5547,552.3825,配变2171,0.4151,"rgb(255,255,255)",TMP00132853,TMP_8ff074d3-c9c3-4ff7-86a6-ffb5419c50f6
TXT-TMP_474e39b7-096b-4982-9b98-4d845af69b90,463.9016,560.3844,配变2170,0.4151,"rgb(255,255,255)",TMP00132837,TMP_474e39b7-096b-4982-9b98-4d845af69b90
TXT-TMP_b09e0182-1906-46f7-9e70-e33ab0f77dce,470.5138,565.2354,配变2169,0.4151,"rgb(255,255,255)",TMP00132826,TMP_b09e0182-1906-46f7-9e70-e33ab0f77dce
TXT-TMP_c9e3eafe-d1d6-4517-9c86-35e47412d6ca,474.13,559.3407,配变2168,0.4151,"rgb(255,255,255)",TMP00132828,TMP_c9e3eafe-d1d6-4517-9c86-35e47412d6ca
TXT-TMP_8344d23a-f2c6-4083-9219-7bf4ac0ad096,478.7512,549.5694,配变2167,0.4151,"rgb(255,255,255)",TMP00132819,TMP_8344d23a-f2c6-4083-9219-7bf4ac0ad096
TXT-TMP_899f83b3-b228-4bf3-9e2b-b8a22722cf29,479.7201,562.4552,配变2166,0.4151,"rgb(255,255,255)",TMP00132821,TMP_899f83b3-b228-4bf3-9e2b-b8a22722cf29
TXT-TMP_a9f9d0d9-e478-4883-bcf0-3cc73aa3003f,483.0049,561.6628,配变2165,0.4151,"rgb(255,255,255)",TMP00132815,TMP_a9f9d0d9-e478-4883-bcf0-3cc73aa3003f
TXT-TMP_e09c3838-c3a2-4410-95ba-d655e9d5865a,485.5925,553.8929,配变2164,0.4151,"rgb(255,255,255)",TMP00132806,TMP_e09c3838-c3a2-4410-95ba-d655e9d5865a
TXT-TMP_df0ade00-aada-47a1-be0a-c3062f8ecf74,438.2462,477.1373,配变2163,0.4151,"rgb(255,255,255)",TMP00132662,TMP_df0ade00-aada-47a1-be0a-c3062f8ecf74
TXT-TMP_16ca72ac-6fa7-4a01-a3a3-6e70deb24b9b,441.6091,480.3621,配变2162,0.4151,"rgb(255,255,255)",TMP00132664,TMP_16ca72ac-6fa7-4a01-a3a3-6e70deb24b9b
TXT-TMP_f1b1304f-b3c9-452c-9614-55f7b6dceee6,427.5844,474.5996,配变2161,0.4151,"rgb(255,255,255)",TMP00132629,TMP_f1b1304f-b3c9-452c-9614-55f7b6dceee6
TXT-TMP_2c9f04bc-b1f1-4ca0-bac9-a4882ba70a47,466.4192,494.0953,配变2160,0.4151,"rgb(255,255,255)",TMP00132646,TMP_2c9f04bc-b1f1-4ca0-bac9-a4882ba70a47
TXT-TMP_31495cfe-45fa-4882-bca2-af3458289b98,455.4148,494.4078,配变2159,0.4151,"rgb(255,255,255)",TMP00132623,TMP_31495cfe-45fa-4882-bca2-af3458289b98
TXT-TMP_103d2841-92d2-43b8-81b7-70908b3a4e89,448.3051,495.2637,配变2158,0.4151,"rgb(255,255,255)",TMP00132567,TMP_103d2841-92d2-43b8-81b7-70908b3a4e89
TXT-TMP_94f5fd92-3eef-4301-8436-ceda13a43e4b,420.628,512.8087,配变2157,0.4151,"rgb(255,255,255)",TMP00132544,TMP_94f5fd92-3eef-4301-8436-ceda13a43e4b
