element_id,element_type,element_type_cn,x,y,object_id,object_name,psr_type,layer,voltage_level,css_class,stroke_color,is_junction,related_text_count
AUTO_BackGround_Layer_75dd2477,BackGround_Layer,BackGround_Layer,0.0,0.0,AUTO_BackGround_Layer_75dd2477,,,BackGround_Layer,,,,False,0
TMP00044758,ACLineSegment,交流线段,345.5487,497.3429,TMP00044758,00000败支2#~LINE215_线如切败支3#,dxd,ACLineSegment,10kV,,,False,1
TMP00044757,ACLineSegment,交流线段,348.7247,495.027,TMP00044757,00000败支3照1#~LINE215_线如切败支3照2#,dxd,ACLineSegment,10kV,,,False,1
TMP00044756,ACLineSegment,交流线段,413.8645,508.3373,TMP00044756,00000争2#~LINE215_线LINE365_争3#,dxd,ACLineSegment,10kV,,,False,1
TMP00044755,ACLineSegment,交流线段,487.294,556.7045,TMP00044755,00000败支31#~LINE215_线况诉败支32#,dxd,ACLineSegment,10kV,,,False,1
TMP00044754,ACLineSegment,交流线段,390.2678,558.6216,TMP00044754,00000败支66#~LINE215_线况诉败支66白1#,dxd,ACLineSegment,10kV,,,False,1
TMP00044753,ACLineSegment,交流线段,417.9578,553.7658,TMP00044753,00000败支59照1#~LINE215_线况诉败支59照2#,dxd,ACLineSegment,10kV,,,False,1
TMP00044752,ACLineSegment,交流线段,461.3846,554.5306,TMP00044752,00000败支43#~LINE215_线况诉败支43照1#,dxd,ACLineSegment,10kV,,,False,1
TMP00044751,ACLineSegment,交流线段,469.445,559.216,TMP00044751,00000败支39#~LINE215_线况诉败支39#照1,dxd,ACLineSegment,10kV,,,False,1
TMP00044750,ACLineSegment,交流线段,444.6133,501.7869,TMP00044750,00000分1#~LINE215_线海半分2#,dxd,ACLineSegment,10kV,,,False,1
TMP00044749,ACLineSegment,交流线段,444.6133,453.5764,TMP00044749,00000分21#~LINE215_线海半分22#,dxd,ACLineSegment,10kV,,,False,1
TMP00044748,ACLineSegment,交流线段,434.0723,486.407,TMP00044748,00000二支1#~LINE215_线海半二支2#,dxd,ACLineSegment,10kV,,,False,1
TMP00044747,ACLineSegment,交流线段,436.5838,480.658,TMP00044747,00000二支5照4#~LINE215_线海半二支5照5#,dxd,ACLineSegment,10kV,,,False,1
TMP00044746,ACLineSegment,交流线段,450.6589,492.4637,TMP00044746,00000支3#~LINE215_线海半支3间1#,dxd,ACLineSegment,10kV,,,False,1
TMP00044742,ACLineSegment,交流线段,303.701,508.0053,TMP00044742,TMP00131373LINE215_线开关－LINE215_线LINE365_1#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044741,ACLineSegment,交流线段,312.8704,499.2785,TMP00044741,TMP00131370#环网箱104-LINE215_线LINE365_1#箱变,0201,ACLineSegment,10kV,,,False,1
TMP00044740,ACLineSegment,交流线段,314.7828,508.0053,TMP00044740,TMP00131370#环网箱102－LINE215_线LINE365_3#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044739,ACLineSegment,交流线段,326.0614,508.0053,TMP00044739,TMP00131373#环网箱103－LINE215_线LINE365_2#箱变,0201,ACLineSegment,10kV,,,False,1
TMP00044738,ACLineSegment,交流线段,329.939,508.0053,TMP00044738,TMP00131373#环网箱102(1)－LINE215_线LINE365_4#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044737,ACLineSegment,交流线段,339.2237,508.0053,TMP00044737,TMP00131373#环网箱102－LINE215_线LINE365_4#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044736,ACLineSegment,交流线段,345.5487,498.9618,TMP00044736,TMP00131371#环网箱103－LINE215_线如切败支1#,0201,ACLineSegment,10kV,,,False,1
TMP00044735,ACLineSegment,交流线段,345.1706,479.0153,TMP00044735,TMP00131373#-如切1#SUB020_开关站,0201,ACLineSegment,10kV,,,False,1
TMP00044734,ACLineSegment,交流线段,343.0533,468.7942,TMP00044734,00000终端头510947-站外-电缆终端头511028,0201,ACLineSegment,10kV,,,False,1
TMP00044733,ACLineSegment,交流线段,347.0479,455.4199,TMP00044733,00000终端头584386-站外-电缆终端头584387,0201,ACLineSegment,10kV,,,False,1
TMP00044732,ACLineSegment,交流线段,352.3331,508.0053,TMP00044732,TMP00131371#环网箱104－LINE215_线著长2#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044731,ACLineSegment,交流线段,355.8997,519.7206,TMP00044731,00000终端头584452-站外-电缆终端头584470,0201,ACLineSegment,10kV,,,False,1
TMP00044730,ACLineSegment,交流线段,354.2454,508.0053,TMP00044730,TMP00131371#环网箱102(1)－LINE215_线LINE365_5#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044729,ACLineSegment,交流线段,359.3286,508.0053,TMP00044729,TMP00131371#环网箱102－LINE215_线LINE365_5#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044728,ACLineSegment,交流线段,370.1488,508.0053,TMP00044728,TMP00131372#环网箱102－LINE215_线LINE365_6#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044727,ACLineSegment,交流线段,398.6434,508.0053,TMP00044727,TMP00131366#环网箱103－LINE215_线果诉明1#争101,0201,ACLineSegment,10kV,,,False,1
TMP00044726,ACLineSegment,交流线段,407.9421,521.9204,TMP00044726,00000明1#争102－LINE215_线果诉明2#争101,0201,ACLineSegment,10kV,,,False,1
TMP00044725,ACLineSegment,交流线段,402.4659,508.0053,TMP00044725,TMP00131366#环网箱102－LINE215_线LINE365_争1#,0201,ACLineSegment,10kV,,,False,1
TMP00044724,ACLineSegment,交流线段,496.7853,491.5979,TMP00044724,00000示分4#－LINE215_线LINE231_示1#环网箱101,0201,ACLineSegment,10kV,,,False,1
TMP00044723,ACLineSegment,交流线段,484.3406,491.741,TMP00044723,00000终端头203161-站外-电缆终端头203162,0201,ACLineSegment,10kV,,,False,1
TMP00044722,ACLineSegment,交流线段,510.7409,508.0053,TMP00044722,00000#-况诉败2#SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
TMP00044721,ACLineSegment,交流线段,528.135,508.0053,TMP00044721,TMP00131696电缆终端头736656,0201,ACLineSegment,10kV,,,False,0
TMP00044720,ACLineSegment,交流线段,516.8322,556.7045,TMP00044720,00000SUB020_开关站102-况诉败支1#,0201,ACLineSegment,10kV,,,False,1
TMP00044719,ACLineSegment,交流线段,365.1455,556.656,TMP00044719,00000终端头463510-站外-电缆终端头463511,0201,ACLineSegment,10kV,,,False,1
TMP00044718,ACLineSegment,交流线段,390.2678,564.1762,TMP00044718,00000终端头506351-站外-电缆终端头506352,0201,ACLineSegment,10kV,,,False,1
TMP00044717,ACLineSegment,交流线段,408.7453,551.4191,TMP00044717,TMP00131680电缆终端头628166,0201,ACLineSegment,10kV,,,False,0
TMP00044716,ACLineSegment,交流线段,410.7691,561.3222,TMP00044716,00000终端头463830-站外-电缆终端头463831,0201,ACLineSegment,10kV,,,False,1
TMP00044715,ACLineSegment,交流线段,421.4004,552.3197,TMP00044715,00000终端头506383-站外-电缆终端头506402,0201,ACLineSegment,10kV,,,False,1
TMP00044714,ACLineSegment,交流线段,426.3592,560.5741,TMP00044714,00000终端头506051-站外-电缆终端头477979,0201,ACLineSegment,10kV,,,False,1
TMP00044713,ACLineSegment,交流线段,445.265,554.1593,TMP00044713,00000终端头586715-站外-电缆终端头586637,0201,ACLineSegment,10kV,,,False,1
TMP00044712,ACLineSegment,交流线段,454.4811,560.6596,TMP00044712,00000终端头506644-站外-电缆终端头506645,0201,ACLineSegment,10kV,,,False,1
TMP00044711,ACLineSegment,交流线段,461.0477,552.3197,TMP00044711,00000终端头463711-站外-电缆终端头463712,0201,ACLineSegment,10kV,,,False,1
TMP00044710,ACLineSegment,交流线段,493.556,550.1079,TMP00044710,00000终端头506054-站外-电缆终端头203462,0201,ACLineSegment,10kV,,,False,1
TMP00044709,ACLineSegment,交流线段,504.2962,514.2205,TMP00044709,00000终端头573744-站外-电缆终端头573745,0201,ACLineSegment,10kV,,,False,1
TMP00044708,ACLineSegment,交流线段,444.2763,451.4462,TMP00044708,00000终端头506258-站外-电缆终端头506259,0201,ACLineSegment,10kV,,,False,1
TMP00044707,ACLineSegment,交流线段,434.4748,455.9141,TMP00044707,00000终端头203402-站外-电缆终端头203403,0201,ACLineSegment,10kV,,,False,1
TMP00044706,ACLineSegment,交流线段,448.1644,461.134,TMP00044706,00000终端头463822-站外-电缆终端头463823,0201,ACLineSegment,10kV,,,False,1
TMP00044705,ACLineSegment,交流线段,434.1676,465.049,TMP00044705,00000终端头506181-站外-电缆终端头506182,0201,ACLineSegment,10kV,,,False,1
TMP00044704,ACLineSegment,交流线段,451.7633,470.1527,TMP00044704,00000育象,0201,ACLineSegment,10kV,,,False,0
TMP00044703,ACLineSegment,交流线段,433.7353,472.6352,TMP00044703,00000终端头573373-站外-电缆终端头573374,0201,ACLineSegment,10kV,,,False,1
TMP00044702,ACLineSegment,交流线段,415.4427,486.0749,TMP00044702,00000终端头506276-站外-电缆终端头506277,0201,ACLineSegment,10kV,,,False,1
TMP00044701,ACLineSegment,交流线段,472.1936,492.1317,TMP00044701,00000终端头479511-站外-电缆终端头479512,0201,ACLineSegment,10kV,,,False,1
TMP00044700,ACLineSegment,交流线段,464.0404,483.3655,TMP00044700,TMP00131599况诉放SUB020_配电站101,0201,ACLineSegment,10kV,,,False,1
TMP00044699,ACLineSegment,交流线段,461.1265,498.7779,TMP00044699,00000终端头506069-站外-电缆终端头506070,0201,ACLineSegment,10kV,,,False,1
TMP00044698,ACLineSegment,交流线段,452.435,488.4939,TMP00044698,00000终端头573485-站外-电缆终端头573486,0201,ACLineSegment,10kV,,,False,1
TMP00044697,ACLineSegment,交流线段,425.6501,500.8211,TMP00044697,TMP00131693电缆终端头710299,0201,ACLineSegment,10kV,,,False,0
TMP00044696,ACLineSegment,交流线段,366.3241,508.0053,TMP00044696,TMP00131372#环网箱103－LINE215_线假社员教争101,0201,ACLineSegment,10kV,,,False,0
TMP00044695,ACLineSegment,交流线段,375.2497,522.8946,TMP00044695,00000电站102-假社员教SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
