line_id,line_type,line_type_cn,from_element_id,from_element_name,to_element_id,to_element_name
TMP00313532,,,TMP00046158,00000,TMP00046158,00000
TMP00313534,,,TMP00046158,00000,TMP00046158,00000
TMP00313535,,,TMP00313565,故障指示器007,TMP00046158,00000
TMP00313538,,,TMP00313539,TMP00318364次母线,TMP00048670,开关03300
TMP00313540,,,TMP00048670,开关03300,TMP00313541,
TMP00313542,,,TMP00313541,,TMP00313541,
TMP00313543,,,TMP00313565,故障指示器007,TMP00313565,故障指示器007
TMP00313546,,,TMP00044381,刀闸0145,TMP00044381,刀闸0145
TMP00313549,,,TMP00044381,刀闸0145,TMP00046157,00000终端头510346
TMP00313548,,,TMP00044381,刀闸0145,TMP00044381,刀闸0145
TMP00313550,,,TMP00313553,,TMP00046027,用户1637
TMP00313552,,,TMP00046027,用户1637,TMP00046027,用户1637
TMP00313554,,,TMP00046027,用户1637,TMP00046027,用户1637
TMP00313557,,,TMP00313561,,TMP00313561,
TMP00313558,,,TMP00046027,用户1637,TMP00046027,用户1637
TMP00313559,,,TMP00313561,,TMP00313561,
TMP00313560,,,TMP00313561,,TMP00313561,
TMP00313562,,,TMP00313561,,TMP00046027,用户1637
TMP00313564,,,TMP00046027,用户1637,TMP00046027,用户1637
TMP00313556,,,TMP00046027,用户1637,TMP00046027,用户1637
TMP00313545,,,TMP00313565,故障指示器007,TMP00313565,故障指示器007
TMP00313566,,,TMP00044450,刀闸0148,TMP00044450,刀闸0148
TMP00313570,,,TMP00044450,刀闸0148,TMP00046154,00000终端头510345
TMP00313571,,,TMP00044450,刀闸0148,TMP00044450,刀闸0148
TMP00313573,,,TMP00046367,配变2144,TMP00046367,配变2144
TMP00313575,,,TMP00046025,用户1639,TMP00046025,用户1639
TMP00313577,,,TMP00044450,刀闸0148,TMP00044450,刀闸0148
TMP00313568,,,TMP00044450,刀闸0148,TMP00044450,刀闸0148
TMP00313578,,,TMP00046367,配变2144,TMP00046367,配变2144
TMP00313579,,,TMP00313582,,TMP00313582,
TMP00313581,,,TMP00313582,,TMP00313582,
TMP00313583,,,TMP00313582,,TMP00313582,
TMP00313586,,,TMP00313588,,TMP00313588,
TMP00313587,,,TMP00313588,,TMP00313588,
TMP00313589,,,TMP00313588,,TMP00313588,
TMP00313591,,,TMP00044532,00000行县开发个三街分者劳母线,TMP00313588,
TMP00313592,,,TMP00313588,,TMP00313588,
TMP00313593,,,TMP00313608,,TMP00313608,
TMP00313595,,,TMP00313608,,TMP00313608,
TMP00313600,,,TMP00313602,,TMP00313602,
TMP00313601,,,TMP00313602,,TMP00313602,
TMP00313603,,,TMP00313602,,TMP00313602,
TMP00313606,,,TMP00044553,00000约命了严个行者劳母线,TMP00313608,
TMP00313607,,,TMP00313608,,TMP00313608,
TMP00313597,,,TMP00313608,,TMP00313608,
TMP00313609,,,TMP00313608,,TMP00313608,
TMP00313610,,,TMP00046154,00000终端头510345,TMP00046026,用户1638
TMP00313585,,,TMP00046026,用户1638,TMP00313582,
TMP00313611,,,TMP00044378,刀闸0142,TMP00044378,刀闸0142
TMP00313613,,,TMP00046366,配变2143,TMP00046366,配变2143
TMP00313614,,,TMP00046025,用户1639,TMP00046025,用户1639
TMP00313615,,,TMP00046025,用户1639,TMP00046025,用户1639
TMP00313599,,,TMP00313608,,TMP00046152,00000终端头915548
TMP00313605,,,TMP00313602,,TMP00046151,00000终端头905222
TMP00313616,,,TMP00044596,00000了严2#母线,TMP00044596,00000了严2#母线
TMP00313617,,,TMP00044596,00000了严2#母线,TMP00044596,00000了严2#母线
TMP00313618,,,TMP00044596,00000了严2#母线,TMP00000224,站房000025
TMP00313621,,,TMP00044596,00000了严2#母线,TMP00044596,00000了严2#母线
TMP00313620,,,TMP00000224,站房000025,TMP00046150,00000终端头964807
TMP00313622,,,TMP00045936,用户1728,TMP00046149,00000站外-电缆终端头
TMP00313624,,,TMP00045936,用户1728,TMP00045936,用户1728
TMP00313626,,,TMP00044377,刀闸0141,TMP00044377,刀闸0141
TMP00313628,,,TMP00044377,刀闸0141,TMP00044377,刀闸0141
TMP00313629,,,TMP00044376,刀闸0140,TMP00044376,刀闸0140
TMP00313632,,,TMP00046147,00000站外-电缆终端头,TMP00046147,00000站外-电缆终端头
TMP00313634,,,TMP00046147,00000站外-电缆终端头,TMP00046147,00000站外-电缆终端头
TMP00313635,,,TMP00045347,00000#~LINE216_争40照1#,TMP00045347,00000#~LINE216_争40照1#
TMP00313638,,,TMP00043919,开关00031,TMP00043919,开关00031
TMP00313641,,,TMP00043918,开关00030,TMP00043918,开关00030
TMP00313644,,,TMP00046018,用户1646,TMP00046023,用户1641
TMP00313647,,,TMP00046019,用户1645,TMP00046019,用户1645
TMP00313650,,,TMP00045951,用户1713,TMP00045951,用户1713
TMP00313651,,,TMP00045951,用户1713,TMP00045951,用户1713
TMP00313652,,,TMP00043917,开关00029,TMP00043917,开关00029
TMP00313655,,,TMP00046144,00000终端头510736,TMP00046144,00000终端头510736
TMP00313657,,,TMP00046144,00000终端头510736,TMP00046144,00000终端头510736
TMP00313658,,,TMP00043915,开关00027,TMP00043915,开关00027
