text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_0928fc35-7084-4ccf-ba4b-09973f2ec6fc,408.0603,104.4316,故障指示器007,0.219,"rgb(255,255,255)",TXT_TMP00313565,TMP_0928fc35-7084-4ccf-ba4b-09973f2ec6fc
TXT-TMP_3099bbcc-b0aa-496c-9375-c7cce69ca3f4,398.4484,108.0993,TMP00314522LINE216_争1#,0.4845,"rgb(255,255,255)",TXT_TMP00045087,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_95943bb2-82be-4d24-a956-971b9c11f139,387.9743,106.65,开关03300,1.0221,"rgb(255,255,255)",TXT_TMP00048670,TMP_95943bb2-82be-4d24-a956-971b9c11f139
TXT-TMP_0472dda9-4604-4f37-93d0-10aa467fb539,381.2288,104.9706,站房006379,0.8396,"rgb(255,255,255)",TXT_TMP00000199,TMP_0472dda9-4604-4f37-93d0-10aa467fb539
TXT-TMP_50f34338-4c40-4d11-ad3a-06f05f2ba68e,403.7089,109.4575,SUB009_变212LINE366_线 02#杆,0.5841,"rgb(255,255,255)",TMP00316487,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_09a4e087-f69e-47e6-b81b-35046f9601e9,401.3523,111.6363,SUB009_变212LINE366_线 01#杆,0.5841,"rgb(255,255,255)",TMP00316488,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_c4eb779c-fbad-4ba9-8480-25f8b7d865b5,410.1725,106.7708,开关00036,0.1353,"rgb(255,255,255)",TXT_TMP00043924,TMP_c4eb779c-fbad-4ba9-8480-25f8b7d865b5
TXT-TMP_e644fd16-350c-49a4-9b64-38b36ed4e26a,407.9242,99.9992,00000终端头510346-站外-电缆终端头510347,0.0992,"rgb(255,255,255)",TXT_TMP00045085,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_7f0efbba-0ebc-4d74-aef0-50c45097cef2,418.1754,102.3687,00000~LINE216_争4#,0.0992,"rgb(255,255,255)",TXT_TMP00045082,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_b74d39b9-fa8d-4a2d-bb3e-8c43c0efe0bd,404.7538,93.2653,站房000042,0.696,"rgb(255,255,255)",TXT_TMP00000241,TMP_b74d39b9-fa8d-4a2d-bb3e-8c43c0efe0bd
TXT-TMP_2954006d-6783-4759-82bb-650e2dd74216,403.0882,96.0038,开关00072,0.5266,"rgb(255,255,255)",TXT_TMP00044111,TMP_2954006d-6783-4759-82bb-650e2dd74216
TXT-TMP_4a377c40-ad92-4efb-ad2e-d53c44ef8e8d,405.7213,96.0038,开关00071,0.5266,"rgb(255,255,255)",TXT_TMP00044110,TMP_4a377c40-ad92-4efb-ad2e-d53c44ef8e8d
TXT-TMP_87c64fe4-9c7e-43e7-a14b-1934eebcc1e5,408.3543,96.0038,开关00070,0.5266,"rgb(255,255,255)",TXT_TMP00044109,TMP_87c64fe4-9c7e-43e7-a14b-1934eebcc1e5
TXT-TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5,406.118,98.1103,配变2274,0.5266,"rgb(255,255,255)",TXT_TMP00046497,TMP_26143f4d-fe2b-45c0-8640-2befe3efb7f5
TXT-TMP_479a5397-dc57-406b-b30f-1822473ac334,402.434,98.3042,用户1637,0.0992,"rgb(255,255,255)",TXT_TMP00046027,TMP_479a5397-dc57-406b-b30f-1822473ac334
