ConnectionID,StartDevice,EndDevice,PointsCount
TMP00313532,TMP00046158,TMP00046158,2
TMP00313534,TMP00046158,TMP00046158,2
TMP00313535,TMP00313565,TMP00046158,2
TMP00313538,TMP00313539,TMP00048670,2
TMP00313540,TMP00048670,TMP00313541,2
TMP00313542,TMP00313541,TMP00313541,2
TMP00313543,TMP00313565,TMP00313565,2
TMP00313546,TMP00044381,TMP00044381,2
TMP00313549,TMP00044381,TMP00046157,2
TMP00313548,TMP00044381,TMP00044381,2
TMP00313550,TMP00313553,TMP00046027,2
TMP00313552,TMP00046027,TMP00046027,2
TMP00313554,TMP00046027,TMP00046027,2
TMP00313557,TMP00313561,TMP00313561,2
TMP00313558,TMP00046027,TMP00046027,2
TMP00313559,TMP00313561,TMP00313561,2
TMP00313560,TMP00313561,TMP00313561,2
TMP00313562,TMP00313561,TMP00046027,2
TMP00313564,TMP00046027,TMP00046027,2
TMP00313556,TMP00046027,TMP00046027,4
TMP00313545,TMP00313565,TMP00313565,2
TMP00313566,TMP00044450,TMP00044450,2
TMP00313570,TMP00044450,TMP00046154,2
TMP00313571,TMP00044450,TMP00044450,2
TMP00313573,TMP00046367,TMP00046367,2
TMP00313575,TMP00046025,TMP00046025,2
TMP00313577,TMP00044450,TMP00044450,2
TMP00313568,TMP00044450,TMP00044450,2
TMP00313578,TMP00046367,TMP00046367,2
TMP00313579,TMP00313582,TMP00313582,2
TMP00313581,TMP00313582,TMP00313582,2
TMP00313583,TMP00313582,TMP00313582,2
TMP00313586,TMP00313588,TMP00313588,2
TMP00313587,TMP00313588,TMP00313588,2
TMP00313589,TMP00313588,TMP00313588,2
TMP00313591,TMP00044532,TMP00313588,2
TMP00313592,TMP00313588,TMP00313588,2
TMP00313593,TMP00313608,TMP00313608,2
TMP00313595,TMP00313608,TMP00313608,2
TMP00313600,TMP00313602,TMP00313602,2
TMP00313601,TMP00313602,TMP00313602,2
TMP00313603,TMP00313602,TMP00313602,2
TMP00313606,TMP00044553,TMP00313608,2
TMP00313607,TMP00313608,TMP00313608,2
TMP00313597,TMP00313608,TMP00313608,2
TMP00313609,TMP00313608,TMP00313608,2
TMP00313610,TMP00046154,TMP00046026,2
TMP00313585,TMP00046026,TMP00313582,4
TMP00313611,TMP00044378,TMP00044378,2
TMP00313613,TMP00046366,TMP00046366,2
TMP00313614,TMP00046025,TMP00046025,2
TMP00313615,TMP00046025,TMP00046025,2
TMP00313599,TMP00313608,TMP00046152,4
TMP00313605,TMP00313602,TMP00046151,4
TMP00313616,TMP00044596,TMP00044596,2
TMP00313617,TMP00044596,TMP00044596,2
TMP00313618,TMP00044596,TMP00000224,2
TMP00313621,TMP00044596,TMP00044596,2
TMP00313620,TMP00000224,TMP00046150,4
TMP00313622,TMP00045936,TMP00046149,2
TMP00313624,TMP00045936,TMP00045936,2
TMP00313626,TMP00044377,TMP00044377,2
TMP00313628,TMP00044377,TMP00044377,2
TMP00313629,TMP00044376,TMP00044376,2
TMP00313632,TMP00046147,TMP00046147,2
TMP00313634,TMP00046147,TMP00046147,2
TMP00313635,TMP00045347,TMP00045347,2
TMP00313638,TMP00043919,TMP00043919,2
TMP00313641,TMP00043918,TMP00043918,2
TMP00313644,TMP00046018,TMP00046023,2
TMP00313647,TMP00046019,TMP00046019,2
TMP00313650,TMP00045951,TMP00045951,2
TMP00313651,TMP00045951,TMP00045951,2
TMP00313652,TMP00043917,TMP00043917,2
