数据集更新说明：
1、更新JBS_PWREAL，删除重复数据；
2、更新JBS_ZWEQUIPINFO、JBS_ZWTERMINAL，增加主变及其连接点信息；
3、更新JBS_PWROOM，增加TYPE字段，标识站房类型；（站房类型为空，表示不是配电站和箱变）
4、更新JBS_ZD_OBJECT，增加站房类型字典项
5、修改重名LINE121为10kVLINE121_195（TMP00000050）、10kVLINE121_185（TMP00000123）
6、更新配网svg图内容，修复部分设备objectid与数据库id不符的情况，修复ns2:GLink_Ref标签id错误情况。
7、更新配网svg图文件名，修改与数据库馈线名不一致的情况
SVG的修改前文件名	SVG的修改后文件名
10kVLINE005	10kVLINE158
10kVLINE006	10kVLINE099
10kVLINE017	10kVLINE157
10kVLINE031	10kVLINE121
10kVLINE036	10kVLINE129
10kVLINE047	10kVLINE136
10kVLINE062	10kVLINE176
10kVLINE066	10kVLINE142
10kVLINE072	10kVLINE134
10kVLINE085	10kVLINE103
10kVLINE218	10kVLINE118
10kVLINE223	10kVLINE130
10kVLINE225	10kVLINE144
10kVLINE226	10kVLINE175
10kVLINE227	10kVLINE141
10kVLINE228	10kVLINE207
10kVLINE229	10kVLINE193
10kVLINE308	10kVLINE200
10kVLINE147	10kVLINE208
